row_idx,col_idx,nH,colDen,tg_guess,final_Tg,attempt_number,attempt_type,converged,repeat_equilibrium,co_int_TB,error_message
22,8,77.4263682681127,3.0538555088334126e+18,5.12,13553.09071585624,1,successful,True,0,1.5400339404792294e-06,
22,9,77.4263682681127,3.511191734215142e+18,5.12,13551.000460525933,1,successful,True,0,1.7725185881309446e-06,
22,10,77.4263682681127,4.0370172585965496e+18,5.12,13548.597689055683,1,successful,True,0,2.040173599708032e-06,
22,11,77.4263682681127,4.641588833612792e+18,5.12,13545.835727277423,1,successful,True,0,2.3483435269512194e-06,
22,12,77.4263682681127,5.336699231206302e+18,5.12,13542.66095214452,1,successful,True,0,2.7031928211717723e-06,
22,13,77.4263682681127,6.135907273413189e+18,5.12,13539.011764233077,1,successful,True,0,3.111834103381993e-06,
22,14,77.4263682681127,7.054802310718631e+18,5.12,13534.817410586777,1,successful,True,0,3.582477299869526e-06,
22,15,77.4263682681127,8.111308307896889e+18,5.12,13529.996636846656,1,successful,True,0,4.124603283371954e-06,
22,16,77.4263682681127,9.32603346883218e+18,5.12,13524.456144877899,1,successful,True,0,4.749166397386734e-06,
22,17,77.4263682681127,1.0722672220103254e+19,5.12,13518.088829126113,1,successful,True,0,5.468831073550513e-06,
22,18,77.4263682681127,1.2328467394420634e+19,5.12,13510.771761657454,1,successful,True,0,6.29824889795913e-06,
22,19,77.4263682681127,1.4174741629268077e+19,5.12,13502.363892344494,1,successful,True,0,7.254383747870137e-06,
22,20,77.4263682681127,1.62975083462064e+19,5.12,13492.70342691277,1,successful,True,0,8.356894395251348e-06,
22,21,77.4263682681127,1.8738174228603867e+19,5.12,13481.604841706532,1,successful,True,0,9.628585981431831e-06,
22,22,77.4263682681127,2.1544346900318777e+19,5.12,13468.855490094631,1,successful,True,0,1.1095944515007692e-05,
22,23,77.4263682681127,2.4770763559917138e+19,5.12,13454.211751634468,1,successful,True,0,1.2789771912000139e-05,
22,24,77.4263682681127,2.848035868435793e+19,5.12,13437.39467164515,1,successful,True,0,1.4745943424548932e-05,
22,25,77.4263682681127,3.2745491628777316e+19,5.12,13418.085036042348,1,successful,True,0,1.7006314925771604e-05,
22,26,77.4263682681127,3.764935806792456e+19,5.12,13395.917824619353,1,successful,True,0,1.9619814816112907e-05,
22,27,77.4263682681127,4.328761281083062e+19,5.12,13370.471558019526,1,successful,True,0,2.274189963160018e-05,
22,28,77.4263682681127,4.9770235643320934e+19,5.12,13341.271149844171,1,successful,True,0,2.6460170140150013e-05,
22,29,77.4263682681127,5.72236765935022e+19,5.12,13307.777201299072,1,successful,True,0,3.080218473742197e-05,
22,30,77.4263682681127,6.579332246575709e+19,5.12,13269.371659457764,1,successful,True,0,3.587788420505305e-05,
22,31,77.4263682681127,7.56463327554629e+19,5.12,13225.351805565371,1,successful,True,0,4.181835665543122e-05,
22,32,77.4263682681127,8.697490026177798e+19,5.12,13174.920048210304,1,successful,True,0,4.878048474437754e-05,
22,33,77.4263682681127,1e+20,5.12,13117.172949024383,1,successful,True,0,5.69527975715025e-05,
22,34,77.4263682681127,1.1497569953977403e+20,5.12,13051.089593254057,1,successful,True,0,6.656289611559429e-05,
22,35,77.4263682681127,1.3219411484660287e+20,5.12,12975.519498659622,1,successful,True,0,7.788695015443968e-05,
22,36,77.4263682681127,1.5199110829529268e+20,5.12,12889.170365704753,1,successful,True,0,9.126194740446829e-05,
22,37,77.4263682681127,1.747528400007683e+20,5.12,12790.596117364365,1,successful,True,0,0.00010710163103203914,
22,38,77.4263682681127,2.009233002565054e+20,5.12,12678.185866540613,1,successful,True,0,0.00012591742764920513,
22,39,77.4263682681127,2.310129700083158e+20,5.12,12550.154692465536,1,successful,True,0,0.00014834619422896567,
22,40,77.4263682681127,2.6560877829466948e+20,5.12,12404.537414249864,1,successful,True,0,0.00017518737864148203,
22,41,77.4263682681127,3.053855508833413e+20,5.12,12239.186928749205,1,successful,True,0,0.00020745331825008478,
22,42,77.4263682681127,3.5111917342151416e+20,5.12,12051.779137265417,1,successful,True,0,0.0002464380877850394,
22,43,77.4263682681127,4.03701725859655e+20,5.12,11839.82407000836,1,successful,True,0,0.00029447541773472966,
22,44,77.4263682681127,4.641588833612792e+20,5.12,11600.657243372962,1,successful,True,0,0.0003647827383694403,
22,45,77.4263682681127,5.336699231206302e+20,5.12,11331.600507619836,1,successful,True,0,0.0004540299017695655,
22,46,77.4263682681127,6.135907273413189e+20,5.12,11029.904503767602,1,successful,True,0,0.0005682121619012602,
22,47,77.4263682681127,7.054802310718631e+20,5.12,10692.877294179336,1,successful,True,0,0.0007156003378524872,
22,48,77.4263682681127,8.11130830789689e+20,5.12,10318.00365724162,1,successful,True,0,0.0009077724049869025,
22,49,77.4263682681127,9.32603346883218e+20,5.12,9903.10016070836,1,successful,True,0,0.001161195422341806,
22,50,77.4263682681127,1.0722672220103254e+21,5.12,9446.5100721738,1,successful,True,0,0.0014996986314141422,
22,51,77.4263682681127,1.2328467394420634e+21,5.12,8947.340028582059,1,successful,True,0,0.001958421248244223,
22,52,77.4263682681127,1.4174741629268077e+21,5.12,8405.736617951667,1,successful,True,0,0.002590258424764532,
22,53,77.4263682681127,1.6297508346206403e+21,5.12,7823.195128392035,1,successful,True,0,0.003476648047985095,
22,54,77.4263682681127,1.8738174228603868e+21,5.12,7202.884270323134,1,successful,True,0,0.004746111305895643,
22,55,77.4263682681127,2.154434690031878e+21,5.12,6549.959512592064,1,successful,True,0,0.006607065764766231,
22,56,77.4263682681127,2.477076355991714e+21,5.12,5871.8241469682,1,successful,True,0,0.009407785213673152,
22,57,77.4263682681127,2.848035868435793e+21,5.12,5178.282488945369,1,successful,True,0,0.01374987364821558,
22,58,77.4263682681127,3.2745491628777317e+21,5.12,4481.5159356243075,1,successful,True,0,0.020711426474485543,
22,59,77.4263682681127,3.7649358067924557e+21,5.12,3795.4860138650533,1,successful,True,0,0.033426900513901625,
22,60,77.4263682681127,4.3287612810830613e+21,5.12,3135.4436335860637,1,successful,True,0,0.05870245071176805,
22,61,77.4263682681127,4.977023564332093e+21,5.12,2516.7823760223214,1,successful,True,0,0.11110202138530391,
22,62,77.4263682681127,5.72236765935022e+21,5.12,1952.8219166146116,1,successful,True,0,0.22646126945728945,
22,63,77.4263682681127,6.57933224657571e+21,5.12,1448.1052016036347,1,successful,True,0,0.550566602324282,
22,64,77.4263682681127,7.56463327554629e+21,5.12,1004.3784781801019,1,successful,True,0,1.3160150578134642,
22,65,77.4263682681127,8.697490026177799e+21,5.12,601.4239000704216,1,successful,True,0,3.506980660702464,
22,66,77.4263682681127,1e+22,5.12,162.03504902264035,1,single_attempt,False,0,nan,
22,66,77.4263682681127,1e+22,10.234,162.03504141568007,2,single_attempt,False,0,nan,
22,66,77.4263682681127,1e+22,25.245,162.03511732131935,3,single_attempt,False,0,nan,
22,66,77.4263682681127,1e+22,50.42,162.03509814737404,4,single_attempt,False,0,nan,
22,66,77.4263682681127,1e+22,100.414,162.03507969540766,5,single_attempt,False,0,nan,
22,66,77.4263682681127,1e+22,1000.321,162.03462955487845,6,single_attempt,False,0,nan,
22,66,77.4263682681127,1e+22,1000.321,162.03462955487845,6,all_guesses_failed,False,0,nan,
22,67,77.4263682681127,1.1497569953977404e+22,5.12,5.789027944015686,1,successful,True,0,32.583383665298655,
22,68,77.4263682681127,1.3219411484660287e+22,5.12,5.651342219004884,1,successful,True,0,31.249309240558468,
22,69,77.4263682681127,1.519911082952927e+22,5.12,5.6950900116450525,1,successful,True,0,31.838819609166162,
22,70,77.4263682681127,1.747528400007683e+22,5.12,5.675397670287891,1,successful,True,0,32.10031735638577,
22,71,77.4263682681127,2.009233002565054e+22,5.12,5.688834221122599,1,successful,True,0,32.66068696560362,
22,72,77.4263682681127,2.310129700083158e+22,5.12,5.708617181429188,1,successful,True,0,33.22412051132845,
22,73,77.4263682681127,2.6560877829466947e+22,5.12,5.881089876559812,1,successful,True,0,35.37161580858346,
22,74,77.4263682681127,3.0538555088334123e+22,5.12,6.065187888360807,1,successful,True,0,37.66864985864587,
22,75,77.4263682681127,3.511191734215142e+22,5.12,6.259612027366987,1,successful,True,0,40.10144776818875,
22,76,77.4263682681127,4.037017258596549e+22,5.12,6.463707740171405,1,successful,True,0,42.66333541350229,
22,77,77.4263682681127,4.641588833612792e+22,5.12,6.6768234087105105,1,successful,True,0,45.34730394937031,
22,78,77.4263682681127,5.336699231206302e+22,5.12,6.898359772026867,1,successful,True,0,48.14664917281719,
22,79,77.4263682681127,6.135907273413189e+22,5.12,7.128071214254965,1,successful,True,0,51.05870119110382,
22,80,77.4263682681127,7.054802310718631e+22,5.12,7.366299541939995,1,successful,True,0,54.08780281111181,
22,81,77.4263682681127,8.11130830789689e+22,5.12,7.613574104373998,1,successful,True,0,57.24045008872614,
